PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,OPP_FGM_RA,OPP_FGA_RA,OPP_FG_PCT_RA,OPP_FGM_NRA,OPP_FGA_NRA,OPP_FG_PCT_NRA,OPP_FGM_MR,OPP_FGA_MR,OPP_FG_PCT_MR,OPP_FGM_LC3,OPP_FGA_LC3,OPP_FG_PCT_LC3,OPP_FGM_RC3,OPP_FGA_RC3,OPP_FG_PCT_RC3,OPP_FGM_AB3,OPP_FGA_AB3,OPP_FG_PCT_AB3,OPP_FGM,OPP_FGA,OPP_FG_PCT
1626154,RJ Hunter,1610612738,BOS,22.0,3.0,5.2,0.577,0.8,1.4,0.571,0.6,2.8,0.214,0.3,1.0,0.333,0.3,0.3,1.0,1.2,4.2,0.286,0.0,0.0,0.0
200751,Randy Foye,1610612760,OKC,32.0,4.4,7.3,0.606,1.2,3.3,0.358,1.5,5.3,0.275,0.2,0.9,0.231,0.3,0.6,0.571,1.9,4.1,0.452,0.0,0.6,0.0
101109,Raymond Felton,1610612742,DAL,32.0,13.2,19.0,0.695,2.8,10.6,0.264,5.4,12.4,0.435,1.6,3.2,0.5,1.2,3.4,0.353,2.8,12.4,0.226,0.0,0.2,0.0
203493,Reggie Bullock,1610612765,DET,25.0,4.5,7.0,0.643,0.5,3.5,0.143,1.5,3.5,0.429,1.0,1.0,1.0,1.5,2.0,0.75,2.0,4.5,0.444,,,
202704,Reggie Jackson,1610612765,DET,26.0,9.0,15.5,0.581,2.5,7.0,0.357,5.8,13.3,0.434,0.8,3.0,0.25,2.3,4.8,0.474,7.5,18.5,0.405,0.0,0.0,0.0
2210,Richard Jefferson,1610612739,CLE,36.0,5.0,8.2,0.616,1.4,4.0,0.353,2.4,5.7,0.425,0.6,1.3,0.44,0.5,1.3,0.375,3.1,8.6,0.365,0.0,0.2,0.0
201155,Rodney Stuckey,1610612754,IND,30.0,5.3,9.9,0.536,1.4,4.1,0.345,2.4,7.1,0.34,0.4,1.6,0.273,0.3,1.5,0.222,1.6,7.1,0.22,0.0,0.0,0.0
201566,Russell Westbrook,1610612760,OKC,27.0,11.8,21.8,0.542,3.9,8.8,0.449,7.1,16.7,0.427,1.0,2.2,0.462,1.0,2.4,0.409,5.4,15.2,0.359,0.0,0.2,0.0
1626257,Salah Mejri,1610612742,DAL,30.0,6.5,9.3,0.703,1.0,4.0,0.25,2.3,6.8,0.333,1.0,2.3,0.429,0.7,1.7,0.4,3.3,8.5,0.382,0.0,0.0,0.0
201586,Serge Ibaka,1610612760,OKC,26.0,10.9,20.4,0.533,3.6,7.8,0.454,6.3,15.2,0.412,0.9,2.1,0.432,0.9,2.2,0.4,4.3,12.3,0.353,0.0,0.3,0.0
2733,Shaun Livingston,1610612744,GSW,30.0,6.7,12.0,0.557,2.3,7.4,0.316,2.8,7.0,0.407,0.7,1.9,0.378,0.5,1.6,0.297,2.8,8.7,0.325,0.0,0.2,0.0
203524,Solomon Hill,1610612754,IND,25.0,8.1,16.1,0.504,2.6,6.3,0.409,4.1,11.7,0.354,0.9,2.9,0.3,0.3,1.3,0.222,2.6,9.4,0.273,0.0,0.0,0.0
