PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
1626162,Kelly Oubre,1610612764,WAS,63,31,32,671.0,22,7,108,38,61,0.623
202689,Kemba Walker,1610612766,CHA,81,47,34,2885.0,126,39,301,114,199,0.573
203088,Kendall Marshall,1610612755,PHI,30,3,27,400.0,16,2,26,12,19,0.632
2570,Kendrick Perkins,1610612740,NOP,37,13,24,542.0,11,11,103,68,124,0.548
202702,Kenneth Faried,1610612743,DEN,67,26,41,1694.0,32,60,346,203,356,0.57
203145,Kent Bazemore,1610612737,ATL,75,44,31,2083.0,98,38,351,83,151,0.55
203484,Kentavious Caldwell-Pope,1610612765,DET,76,41,35,2789.0,110,17,212,72,118,0.61
201142,Kevin Durant,1610612760,OKC,72,52,20,2578.0,69,85,544,111,219,0.507
708,Kevin Garnett,1610612750,MIN,38,14,24,556.0,28,10,135,57,112,0.509
201567,Kevin Love,1610612739,CLE,77,53,24,2424.0,58,41,613,269,497,0.541
2755,Kevin Martin,1610612759,SAS,55,24,31,1095.0,26,3,96,34,44,0.773
202338,Kevin Seraphin,1610612752,NYK,48,15,33,526.0,8,36,95,61,145,0.421
1626172,Kevon Looney,1610612744,GSW,5,4,1,21.0,0,0,6,3,6,0.5
203114,Khris Middleton,1610612749,MIL,79,33,46,2852.0,131,19,258,92,156,0.59
2550,Kirk Hinrich,1610612737,ATL,46,26,20,631.0,15,2,62,23,47,0.489
202691,Klay Thompson,1610612744,GSW,80,71,9,2666.0,60,49,271,118,220,0.536
977,Kobe Bryant,1610612747,LAL,66,13,53,1863.0,62,13,206,48,75,0.64
201585,Kosta Koufos,1610612758,SAC,77,32,45,1463.0,38,69,246,195,400,0.488
203123,Kostas Papanikolaou,1610612743,DEN,26,8,18,294.0,13,5,32,13,31,0.419
2743,Kris Humphries,1610612737,ATL,53,29,24,835.0,16,23,161,106,196,0.541
204001,Kristaps Porzingis,1610612752,NYK,72,28,44,2047.0,53,134,394,240,503,0.477
203937,Kyle Anderson,1610612759,SAS,78,64,14,1245.0,60,29,219,41,85,0.482
2594,Kyle Korver,1610612737,ATL,80,46,34,2401.0,60,35,246,144,255,0.565
200768,Kyle Lowry,1610612761,TOR,76,53,23,2804.0,157,33,303,117,178,0.657
203124,Kyle O'Quinn,1610612752,NYK,65,26,39,764.0,20,49,174,117,248,0.472
202713,Kyle Singler,1610612760,OKC,68,43,25,977.0,30,9,91,67,115,0.583
202681,Kyrie Irving,1610612739,CLE,53,37,16,1667.0,56,18,113,54,99,0.545
200746,LaMarcus Aldridge,1610612759,SAS,74,61,13,2261.0,38,81,456,212,438,0.484
203934,Lamar Patterson,1610612737,ATL,35,23,12,395.0,9,2,46,20,37,0.541
202362,Lance Stephenson,1610612763,MEM,69,36,33,1372.0,43,9,183,38,66,0.576
202498,Lance Thomas,1610612752,NYK,59,25,34,1313.0,22,7,97,34,74,0.459
204038,Langston Galloway,1610612752,NYK,82,32,50,2033.0,77,22,245,61,124,0.492
1626204,Larry Nance Jr.,1610612747,LAL,63,14,49,1266.0,54,23,211,93,162,0.574
202730,Lavoy Allen,1610612754,IND,79,43,36,1599.0,26,42,262,136,273,0.498
2544,LeBron James,1610612739,CLE,76,56,20,2709.0,104,49,454,79,153,0.516
2571,Leandro Barbosa,1610612744,GSW,68,60,8,1079.0,44,10,89,22,39,0.564
203485,Lorenzo Brown,1610612765,DET,8,1,7,61.0,3,1,7,4,5,0.8
200811,Lou Amundson,1610612752,NYK,29,11,18,204.0,6,7,26,15,40,0.375
101150,Lou Williams,1610612747,LAL,67,14,53,1907.0,62,19,138,56,95,0.589
201601,Luc Mbah a Moute,1610612746,LAC,75,49,26,1274.0,44,19,111,64,122,0.525
203512,Lucas Nogueira,1610612761,TOR,29,17,12,225.0,12,12,28,36,77,0.468
1626242,Luis Montero,1610612757,POR,12,6,6,42.0,0,0,4,2,2,1.0
2449,Luis Scola,1610612761,TOR,75,49,26,1617.0,43,25,275,132,232,0.569
202337,Luke Babbitt,1610612740,NOP,47,16,31,845.0,11,7,123,67,112,0.598
2736,Luol Deng,1610612748,MIA,74,45,29,2394.0,74,29,335,166,294,0.565
1938,Manu Ginobili,1610612759,SAS,58,47,11,1134.0,66,11,120,34,59,0.576
201188,Marc Gasol,1610612763,MEM,52,30,22,1791.0,50,70,304,166,363,0.457
1626273,Marcelo Huertas,1610612747,LAL,53,8,45,869.0,26,7,72,24,43,0.558
101162,Marcin Gortat,1610612764,WAS,75,35,40,2256.0,47,96,519,302,595,0.508
201158,Marco Belinelli,1610612758,SAC,67,27,40,1646.0,37,2,104,51,81,0.63
202694,Marcus Morris,1610612765,DET,80,42,38,2856.0,67,23,313,111,176,0.631
203935,Marcus Smart,1610612738,BOS,61,36,25,1667.0,91,18,179,58,102,0.569
201977,Marcus Thornton,1610612764,WAS,61,32,29,1108.0,47,4,112,33,50,0.66
201596,Mario Chalmers,1610612748,MIA,61,38,23,1373.0,88,13,133,39,62,0.629
1626209,Mario Hezonja,1610612753,ORL,78,33,45,1399.0,39,16,146,78,118,0.661
203900,Markel Brown,1610612751,BKN,62,12,50,982.0,38,15,99,48,82,0.585
202693,Markieff Morris,1610612764,WAS,64,22,42,1629.0,58,34,279,103,191,0.539
201578,Marreese Speights,1610612744,GSW,72,64,8,832.0,19,34,162,112,229,0.489
101107,Marvin Williams,1610612766,CHA,81,47,34,2338.0,58,77,394,174,385,0.452
203486,Mason Plumlee,1610612757,POR,82,44,38,2084.0,68,85,427,341,649,0.525
2440,Matt Barnes,1610612763,MEM,76,38,38,2190.0,78,57,336,106,185,0.573
2588,Matt Bonner,1610612759,SAS,30,25,5,206.0,6,1,24,13,30,0.433
203521,Matthew Dellavedova,1610612739,CLE,76,54,22,1867.0,44,9,129,57,114,0.5
203090,Maurice Harkless,1610612757,POR,78,40,38,1457.0,49,35,179,80,169,0.473
1897,Metta World Peace,1610612747,LAL,35,6,29,590.0,22,11,70,25,51,0.49
203086,Meyers Leonard,1610612757,POR,61,33,28,1333.0,8,18,263,124,236,0.525
201563,Michael Beasley,1610612745,HOU,20,10,10,363.0,11,9,69,35,69,0.507
203487,Michael Carter-Williams,1610612749,MIL,54,21,33,1649.0,80,41,228,75,137,0.547
203077,Michael Kidd-Gilchrist,1610612766,CHA,7,5,2,205.0,3,3,33,25,35,0.714
201144,Mike Conley,1610612763,MEM,56,33,23,1761.0,67,16,138,66,113,0.584
2399,Mike Dunleavy,1610612741,CHI,31,13,18,703.0,14,10,75,38,62,0.613
2034,Mike Miller,1610612743,DEN,47,21,26,373.0,13,4,47,21,38,0.553
203488,Mike Muscala,1610612737,ATL,60,34,26,565.0,13,27,79,108,202,0.535
203118,Mike Scott,1610612737,ATL,75,46,29,1146.0,25,17,153,60,126,0.476
203101,Miles Plumlee,1610612749,MIL,61,23,38,870.0,21,50,138,143,276,0.518
203141,Mirza Teletovic,1610612756,PHX,79,23,56,1686.0,32,21,247,171,309,0.553
203956,Mitch McGary,1610612760,OKC,20,17,3,72.0,1,2,14,11,18,0.611
2590,Mo Williams,1610612739,CLE,41,27,14,748.0,14,5,66,17,30,0.567
101145,Monta Ellis,1610612754,IND,81,44,37,2734.0,150,37,229,55,104,0.529
1626149,Montrezl Harrell,1610612745,HOU,39,17,22,379.0,11,11,40,23,47,0.489
1626167,Myles Turner,1610612754,IND,60,32,28,1367.0,25,86,264,215,424,0.507
101126,Nate Robinson,1610612740,NOP,2,0,2,23.0,1,0,0,2,3,0.667
1737,Nazr Mohammed,1610612760,OKC,5,5,0,19.0,0,0,3,2,4,0.5
202357,Nemanja Bjelica,1610612750,MIN,60,20,40,1075.0,26,21,161,129,219,0.589
2403,Nene,1610612764,WAS,57,28,29,1094.0,54,26,207,125,248,0.504
203457,Nerlens Noel,1610612755,PHI,67,10,57,1965.0,118,100,388,271,558,0.486
2555,Nick Collison,1610612760,OKC,59,39,20,699.0,15,16,103,59,127,0.465
201156,Nick Young,1610612747,LAL,54,13,41,1033.0,23,7,83,46,78,0.59
201587,Nicolas Batum,1610612766,CHA,70,41,29,2448.0,65,43,373,112,198,0.566
203917,Nik Stauskas,1610612755,PHI,73,8,65,1809.0,44,20,160,70,137,0.511
203999,Nikola Jokic,1610612743,DEN,80,31,49,1733.0,79,50,379,219,444,0.493
202703,Nikola Mirotic,1610612741,CHI,66,37,29,1646.0,58,46,304,141,277,0.509
201593,Nikola Pekovic,1610612750,MIN,12,2,10,156.0,1,0,14,26,40,0.65
202696,Nikola Vucevic,1610612753,ORL,64,28,36,1998.0,53,67,393,284,526,0.54
203943,Noah Vonleh,1610612757,POR,78,41,37,1174.0,27,26,214,91,189,0.481
1626181,Norman Powell,1610612761,TOR,48,31,17,722.0,29,10,94,27,50,0.54
202708,Norris Cole,1610612740,NOP,45,20,25,1198.0,37,5,141,30,44,0.682
201564,O.J. Mayo,1610612749,MIL,41,17,24,1090.0,48,8,92,41,68,0.603
201600,Omer Asik,1610612740,NOP,68,29,39,1178.0,21,23,294,163,309,0.528
201956,Omri Casspi,1610612758,SAC,69,27,42,1880.0,56,17,352,132,208,0.635
203111,Orlando Johnson,1610612740,NOP,7,1,6,102.0,3,3,11,3,9,0.333
203490,Otto Porter,1610612764,WAS,75,36,39,2276.0,105,32,294,96,173,0.555
203798,PJ Hairston,1610612763,MEM,66,31,35,1313.0,32,11,149,46,98,0.469
200782,PJ Tucker,1610612756,PHX,82,23,59,2540.0,106,20,347,89,179,0.497
203143,Pablo Prigioni,1610612746,LAC,59,37,22,823.0,53,1,76,37,54,0.685
1626192,Pat Connaughton,1610612757,POR,34,17,17,143.0,2,0,21,3,7,0.429
201976,Patrick Beverley,1610612745,HOU,71,35,36,2041.0,94,26,177,65,112,0.58
202335,Patrick Patterson,1610612761,TOR,78,53,25,1984.0,52,30,259,129,263,0.49
201988,Patty Mills,1610612759,SAS,81,66,15,1662.0,59,6,131,44,65,0.677
